c,3276452,750
e,3276593,4
11,3276734,13
b,3276875,54
c,3277016,745
e,3277157,4
11,3277298,13
b,3277440,54
c,3277580,740
e,3277721,4
11,3277862,13
b,3278003,54
c,3278144,745
e,3278286,3
11,3278427,13
b,3278568,54
c,3278709,748
e,3278850,2
11,3278991,13
b,3279132,54
c,3279273,734
e,3279410,4
11,3279551,13
b,3279692,54
c,3279833,743
e,3279974,4
11,3280115,13
b,3280253,54
c,3280394,745
e,3280535,4
11,3280676,13
b,3280817,54
c,3280958,749
e,3281099,2
11,3281240,13
b,3281381,54
c,3281522,746
e,3281664,4
11,3281804,13
b,3281945,54
c,3282086,747
e,3282227,2
11,3282368,13
b,3282510,55
c,3282651,747
e,3282792,1
11,3282933,13
b,3283074,54
c,3283215,748
e,3283356,2
11,3283497,13
b,3283634,53
c,3283775,743
e,3283916,4
11,3284057,12
b,3284198,53
c,3284339,742
e,3284477,4
11,3284618,12
b,3284759,52
c,3284900,749
e,3285041,4
11,3285182,12
b,3285323,52
c,3285464,744
e,3285605,4
11,3285746,12
b,3285888,51
c,3286028,739
e,3286169,5
11,3286310,12
b,3286451,51
c,3286592,748
e,3286734,4
11,3286875,12
b,3287016,51
c,3287157,743
e,3287298,5
11,3287439,12
b,3287580,51
c,3287721,744
e,3287858,5
11,3287999,12
b,3288140,50
c,3288281,743
e,3288422,5
11,3288563,12
b,3288701,50
c,3288842,754
e,3288983,4
11,3289124,12
b,3289265,50
c,3289406,743
e,3289547,6
11,3289688,12
b,3289829,50
c,3289970,746
e,3290112,5
11,3290252,12
b,3290393,50
c,3290534,743
e,3290675,5
11,3290816,12
b,3290958,50
c,3291099,756
e,3291240,4
11,3291381,12
b,3291522,49
c,3291663,755
e,3291804,5
11,3291945,12
b,3292082,49
c,3292223,750
e,3292364,5
11,3292505,12
b,3292646,49
c,3292787,751
e,3292925,6
11,3293066,12
b,3293207,49
c,3293348,759
e,3293489,5
11,3293630,12
b,3293771,49
c,3293912,748
e,3294053,7
11,3294194,12
b,3294336,49
c,3294476,755
e,3294617,7
11,3294758,12
b,3294899,49
c,3295040,760
e,3295182,6
11,3295323,12
b,3295464,49
c,3295605,762
e,3295746,6
11,3295887,12
b,3296028,49
c,3296169,751
e,3296306,7
11,3296447,12
b,3296588,49
c,3296729,751
e,3296870,7
b,3297011,49
c,3297149,745
e,3297290,7
b,3297431,49
c,3297572,744
e,3297713,7
b,3297854,49
c,3297995,750
e,3298136,7
b,3298277,49
c,3298418,757
e,3298560,7
b,3298700,49
c,3298841,757
e,3298982,7
b,3299123,49
c,3299264,748
e,3299406,8
b,3299547,49
c,3299688,746
e,3299829,7
b,3299970,49
c,3300111,752
e,3300252,6
b,3300393,49
c,3300530,753
e,3300671,7
b,3300812,49
c,3300953,749
e,3301094,7
b,3301235,49
c,3301373,754
e,3301514,7
b,3301655,49
c,3301796,768
e,3301937,5
b,3302078,49
c,3302219,764
e,3302360,7
b,3302501,49
c,3302642,757
e,3302784,8
b,3302924,49
c,3303065,748
e,3303206,7
b,3303347,49
c,3303488,753
e,3303630,7
b,3303771,49
c,3303912,761
e,3304053,5
b,3304194,49
c,3304335,754
e,3304476,8
b,3304617,49
c,3304754,756
e,3304895,7
b,3305036,49
c,3305177,758
e,3305318,8
b,3305459,50
c,3305597,758
e,3305738,7
b,3305879,49
c,3306020,764
e,3306161,7
b,3306302,49
c,3306443,758
e,3306584,7
b,3306725,49
c,3306866,752
e,3307008,8
b,3307148,49
c,3307289,741
e,3307430,12
b,3307571,50
c,3307712,745
e,3307854,12
b,3307995,51
c,3308136,748
e,3308277,10
b,3308418,52
c,3308559,745
e,3308700,8
b,3308841,53
c,3308978,748
e,3309119,5
b,3309260,54
c,3309401,746
e,3309542,5
b,3309683,54
c,3309821,756
e,3309962,4
b,3310103,54
c,3310244,739
e,3310385,5
b,3310526,54
c,3310667,753
e,3310808,4
b,3310949,54
c,3311090,755
e,3311232,4
b,3311372,54
c,3311513,749
e,3311654,4
b,3311795,54
c,3311936,747
e,3312078,4
b,3312219,54
c,3312360,745
e,3312501,4
b,3312642,54
c,3312783,746
e,3312924,5
b,3313065,54
c,3313202,749
e,3313343,4
b,3313484,54
c,3313625,751
e,3313766,5
b,3313907,54
c,3314045,742
e,3314186,4
b,3314327,54
c,3314468,753
e,3314609,3
b,3314750,54
c,3314891,751
e,3315032,4
b,3315173,54
c,3315314,747
e,3315456,5
b,3315596,53
c,3315737,749
e,3315878,4
b,3316019,53
c,3316160,752
e,3316302,3
b,3316443,53
c,3316584,750
e,3316725,3
b,3316866,53
c,3317007,755
e,3317148,2
5,3317289,99
b,3317426,53
c,3317567,750
e,3317708,3
5,3317849,99
b,3317990,53
c,3318131,751
e,3318269,3
5,3318410,99
b,3318551,52
c,3318692,749
e,3318833,4
5,3318974,99
b,3319115,51
c,3319256,752
e,3319397,5
5,3319538,99
b,3319680,50
c,3319820,749
e,3319961,6
5,3320102,99
b,3320243,50
c,3320384,756
e,3320526,6
5,3320667,99
b,3320808,49
c,3320949,747
e,3321090,9
5,3321231,99
b,3321372,48
c,3321513,746
e,3321650,9
5,3321791,99
b,3321932,48
c,3322073,747
e,3322214,8
5,3322355,99
b,3322493,48
c,3322634,749
e,3322775,8
5,3322916,99
b,3323057,48
c,3323198,744
e,3323339,9
5,3323480,99
b,3323621,49
c,3323762,754
e,3323904,7
5,3324044,99
b,3324185,49
c,3324326,754
e,3324467,7
5,3324608,99
b,3324750,49
c,3324891,760
e,3325032,7
5,3325173,99
b,3325314,49
c,3325455,768
e,3325596,6
5,3325737,99
b,3325874,48
c,3326015,762
e,3326156,5
5,3326297,99
b,3326438,48
c,3326579,759
e,3326717,7
5,3326858,99
b,3326999,49
c,3327140,750
e,3327281,8
5,3327422,99
b,3327563,49
c,3327704,753
e,3327845,7
5,3327986,99
b,3328128,49
c,3328268,758
e,3328409,6
5,3328550,99
b,3328691,49
c,3328832,753
e,3328974,7
5,3329115,99
b,3329256,49
c,3329397,756
e,3329538,7
5,3329679,99
b,3329820,49
c,3329961,758
e,3330098,6
5,3330239,99
b,3330380,49
c,3330521,757
e,3330662,7
5,3330803,99
b,3330941,49
c,3331082,751
e,3331223,7
5,3331364,99
b,3331505,49
c,3331646,757
e,3331787,6
5,3331928,99
b,3332069,49
c,3332210,752
e,3332352,7
5,3332492,99
b,3332633,49
c,3332774,748
e,3332915,7
5,3333056,99
b,3333198,49
c,3333339,754
e,3333480,7
5,3333621,99
b,3333762,49
c,3333903,759
e,3334044,7
5,3334185,99
b,3334322,49
c,3334463,750
e,3334604,8
5,3334745,99
b,3334886,49
c,3335027,763
e,3335165,6
5,3335306,99
b,3335447,49
c,3335588,765
e,3335729,7
5,3335870,99
b,3336011,49
c,3336152,748
e,3336293,9
5,3336434,99
b,3336576,49
c,3336716,747
e,3336857,7
5,3336998,99
b,3337139,49
c,3337280,759
e,3337422,7
5,3337563,99
b,3337704,49
c,3337845,762
e,3337986,7
5,3338127,99
b,3338268,49
c,3338409,751
e,3338546,8
5,3338687,99
b,3338828,49
c,3338969,741
e,3339110,11
5,3339251,99
b,3339389,50
c,3339530,745
e,3339671,9
5,3339812,99
b,3339953,51
c,3340094,738
e,3340235,8
5,3340376,99
b,3340517,53
c,3340658,748
e,3340800,5
5,3340940,99
b,3341081,53
c,3341222,740
e,3341363,7
5,3341504,99
b,3341646,53
c,3341787,751
e,3341928,5
5,3342069,99
b,3342210,53
c,3342351,750
e,3342492,5
5,3342633,99
b,3342770,53
c,3342911,742
e,3343052,-1
5,3343193,99
b,3343334,52
c,3343475,768
e,3343613,-1
5,3343754,99
b,3343895,49
c,3344036,770
e,3344177,1
5,3344318,99
b,3344459,46
c,3344600,766
e,3344741,6
5,3344882,99
b,3345024,44
c,3345164,766
e,3345305,8
5,3345446,99
b,3345587,43
c,3345728,759
e,3345870,11
5,3346011,99
b,3346152,43
c,3346293,757
e,3346434,11
5,3346575,99
b,3346716,43
c,3346857,761
e,3346994,11
5,3347135,99
b,3347276,43
c,3347417,763
e,3347558,11
5,3347699,99
b,3347837,43
c,3347978,768
e,3348119,10
5,3348260,99
b,3348401,43
c,3348542,765
e,3348683,11
5,3348824,99
b,3348965,43
c,3349106,763
e,3349248,10
5,3349388,99
b,3349529,43
c,3349670,763
e,3349811,8
5,3349952,99
b,3350094,42
c,3350235,776
e,3350376,8
5,3350517,99
b,3350658,42
c,3350799,765
e,3350940,9
5,3351081,99
b,3351218,42
c,3351359,765
e,3351500,8
5,3351641,99
b,3351782,41
c,3351923,757
e,3352061,8
5,3352202,99
b,3352343,41
c,3352484,749
e,3352625,9
5,3352766,99
b,3352907,41
c,3353048,749
e,3353189,10
5,3353330,99
b,3353472,41
c,3353612,739
e,3353753,9
5,3353894,98
b,3354035,41
c,3354176,743
e,3354318,10
5,3354459,98
b,3354600,41
c,3354741,748
e,3354882,15
5,3355023,98
b,3355164,42
c,3355305,747
e,3355442,6
5,3355583,98
b,3355724,42
c,3355865,744
e,3356006,5
5,3356147,98
b,3356285,42
c,3356426,743
e,3356567,6
5,3356708,98
b,3356849,43
c,3356990,746
e,3357131,5
5,3357272,97
