Intk Air Temp;TPS;Calc Load;ECT;Intk Mani Press;RPM;Speed
23.0;13.0;37.0;87.0;48.0;754.0;0.0
23.0;12.0;36.0;87.0;46.0;750.0;0.0
23.0;12.0;33.0;87.0;45.0;740.0;0.0
24.0;12.0;34.0;88.0;45.0;738.0;0.0
24.0;12.0;34.0;88.0;45.0;747.0;0.0
24.0;12.0;33.0;88.0;44.0;740.0;0.0
24.0;12.0;33.0;88.0;45.0;749.0;0.0
24.0;12.0;33.0;88.0;45.0;746.0;0.0
24.0;12.0;33.0;88.0;45.0;745.0;0.0
24.0;12.0;33.0;88.0;45.0;742.0;0.0
24.0;12.0;34.0;88.0;45.0;742.0;0.0
24.0;12.0;34.0;88.0;45.0;751.0;0.0
24.0;12.0;33.0;89.0;45.0;735.0;0.0
24.0;12.0;34.0;89.0;46.0;753.0;0.0
24.0;12.0;34.0;89.0;46.0;745.0;0.0
24.0;12.0;34.0;89.0;45.0;755.0;0.0
24.0;12.0;34.0;89.0;45.0;737.0;0.0
24.0;12.0;34.0;89.0;46.0;742.0;0.0
24.0;12.0;36.0;89.0;46.0;742.0;0.0
24.0;12.0;34.0;89.0;46.0;749.0;0.0
24.0;12.0;34.0;89.0;46.0;755.0;0.0
24.0;12.0;34.0;89.0;46.0;744.0;0.0
24.0;12.0;36.0;89.0;47.0;752.0;0.0
24.0;12.0;36.0;89.0;46.0;753.0;0.0
24.0;12.0;36.0;0;46.0;749.0;0.0
24.0;12.0;34.0;0;46.0;745.0;0.0
24.0;12.0;36.0;0;46.0;758.0;0.0
24.0;12.0;34.0;0;46.0;758.0;0.0
24.0;12.0;34.0;0;46.0;746.0;0.0
24.0;12.0;36.0;0;46.0;752.0;0.0
24.0;12.0;34.0;0;46.0;756.0;0.0
24.0;12.0;36.0;0;46.0;750.0;0.0
24.0;12.0;34.0;0;46.0;747.0;0.0
24.0;12.0;36.0;0;47.0;752.0;0.0
24.0;12.0;36.0;0;47.0;751.0;0.0
24.0;12.0;36.0;0;46.0;762.0;0.0
24.0;12.0;36.0;0;46.0;744.0;0.0
24.0;12.0;34.0;0;46.0;753.0;0.0
24.0;12.0;36.0;0;47.0;750.0;0.0
24.0;12.0;36.0;0;46.0;752.0;0.0
24.0;12.0;36.0;0;47.0;760.0;0.0
24.0;12.0;36.0;0;47.0;756.0;0.0
24.0;12.0;36.0;0;46.0;743.0;0.0
24.0;12.0;36.0;0;46.0;752.0;0.0
24.0;12.0;36.0;0;47.0;752.0;0.0
24.0;12.0;36.0;0;46.0;768.0;0.0
24.0;12.0;36.0;0;46.0;758.0;0.0
24.0;12.0;36.0;0;46.0;1047.0;0.0
24.0;14.0;40.0;0;52.0;1277.0;0.0
25.0;14.0;38.0;0;43.0;1172.0;0.0
25.0;16.0;36.0;0;56.0;1563.0;2.0
25.0;23.0;86.0;0;92.0;1805.0;7.0
25.0;26.0;83.0;0;93.0;2456.0;14.0
25.0;30.0;100.0;0;111.0;3024.0;22.0
26.0;29.0;100.0;0;76.0;2353.0;27.0
26.0;18.0;41.0;0;102.0;2534.0;30.0
26.0;35.0;100.0;0;140.0;3161.0;37.0
26.0;88.0;100.0;0;157.0;3814.0;47.0
26.0;49.0;100.0;0;155.0;3172.0;56.0
27.0;13.0;26.0;0;20.0;2856.0;55.0
26.0;38.0;100.0;0;110.0;3101.0;57.0
