c,531993,738
d,532134,0
f,532275,24
11,532416,12
4,532558,33
b,532699,45
c,532840,745
d,532981,0
f,533122,24
11,533263,12
4,533404,35
b,533545,46
c,533682,748
d,533823,0
f,533964,24
11,534105,12
4,534246,35
b,534387,44
c,534525,756
d,534666,0
f,534807,24
11,534948,12
4,535089,33
b,535230,44
c,535371,737
d,535512,0
f,535653,24
11,535794,12
4,535936,33
b,536076,44
c,536217,728
d,536358,0
f,536499,24
11,536640,12
4,536782,33
b,536923,44
c,537064,746
d,537205,0
f,537346,24
11,537487,12
4,537628,32
b,537769,44
c,537906,739
d,538047,0
f,538188,24
11,538329,13
4,538470,35
b,538611,46
c,538749,749
d,538890,0
f,539031,24
11,539172,12
4,539313,35
b,539454,45
c,539595,764
d,539736,0
f,539877,24
11,540018,12
4,540160,32
b,540300,43
c,540441,736
d,540582,0
f,540723,24
11,540864,12
4,541006,32
b,541147,44
c,541288,734
d,541429,0
f,541570,24
11,541711,12
4,541852,33
b,541993,44
c,542130,732
d,542271,0
f,542412,24
11,542553,12
4,542694,33
b,542835,44
c,542973,737
d,543114,0
f,543255,24
11,543396,12
4,543537,33
b,543678,44
c,543819,734
d,543960,0
f,544101,24
11,544242,12
4,544384,33
b,544524,44
c,544665,748
d,544806,0
f,544947,24
11,545088,12
4,545230,33
b,545371,43
c,545512,749
d,545653,0
f,545794,24
11,545935,12
4,546076,33
b,546217,44
c,546354,743
d,546495,0
f,546636,24
11,546777,12
4,546918,33
b,547059,44
c,547197,744
d,547338,0
f,547479,24
11,547620,12
4,547761,33
b,547902,44
c,548043,749
d,548184,0
f,548325,24
11,548466,12
4,548608,33
b,548748,43
c,548889,763
d,549030,0
f,549171,24
11,549312,12
4,549454,32
b,549595,43
c,549736,765
d,549877,0
f,550018,24
11,550159,17
4,550300,71
b,550441,66
c,550578,1337
d,550719,0
f,550860,24
11,551001,21
4,551142,76
b,551283,82
c,551421,1633
d,551562,5
f,551703,24
11,551844,24
4,551985,76
b,552126,83
c,552267,1955
d,552408,12
f,552549,24
11,552690,29
4,552832,96
b,552972,106
c,553113,2147
d,553254,19
f,553395,24
11,553536,29
4,553678,100
b,553819,72
c,553960,2685
d,554101,24
f,554242,24
11,554383,13
4,554524,17
b,554665,59
c,554802,1765
d,554943,25
f,555084,24
11,555225,87
4,555366,100
b,555507,148
c,555645,2194
d,555786,32
f,555927,25
11,556068,88
4,556209,100
b,556350,158
c,556491,2790
d,556632,42
f,556773,25
11,556914,88
4,557056,100
b,557196,158
c,557337,3473
d,557478,51
f,557619,26
11,557760,88
4,557902,100
b,558043,166
c,558184,4175
d,558325,62
f,558466,26
11,558607,15
4,558748,19
b,558889,19
c,559026,3647
d,559167,62
f,559308,26
11,559449,88
4,559590,100
b,559731,158
c,559869,3360
d,560010,68
f,560151,27
11,560292,88
4,560433,100
b,560574,163
c,560715,3748
d,560856,76
f,560997,27
11,561138,88
4,561280,100
b,561420,167
c,561561,4141
d,561702,83
f,561843,27
11,561984,14
4,562126,15
b,562267,19
