f,4402,21
11,4543,16
b,4684,61
c,4825,1081
d,4966,0
f,5107,21
11,5245,15
b,5386,60
c,5527,1054
d,5668,0
f,5809,21
11,5950,15
b,6091,60
c,6232,1080
d,6373,0
f,6514,21
11,6656,16
b,6796,60
c,6937,1077
d,7078,0
f,7219,21
11,7360,15
b,7502,60
c,7643,1070
d,7784,0
f,7925,21
11,8066,15
b,8207,60
c,8348,1081
d,8489,0
f,8626,21
11,8767,15
b,8908,60
c,9049,1073
d,9190,0
f,9331,21
11,9469,15
b,9610,59
c,9751,1063
d,9892,0
f,10033,21
11,10174,15
b,10315,59
c,10456,1046
d,10597,0
f,10738,21
11,10880,15
b,11020,60
c,11161,1061
d,11302,0
f,11443,21
11,11584,15
b,11726,60
c,11867,1051
d,12008,0
f,12149,21
11,12290,15
b,12431,60
c,12572,1052
d,12713,0
f,12850,21
11,12991,15
b,13132,60
c,13273,1046
d,13414,0
f,13555,21
11,13693,15
b,13834,60
c,13975,1027
d,14116,0
f,14257,21
11,14398,15
b,14539,60
c,14680,1035
d,14821,0
f,14962,21
11,15104,15
b,15244,60
c,15385,1034
d,15526,0
f,15667,21
11,15808,15
b,15950,60
c,16091,1041
d,16232,0
f,16373,21
11,16514,15
b,16655,60
c,16796,1030
d,16937,0
f,17074,21
11,17215,15
b,17356,60
c,17497,1017
d,17638,0
f,17779,21
11,17917,15
b,18058,61
c,18199,1018
d,18340,0
f,18481,21
11,18622,15
b,18763,60
c,18904,1022
d,19045,0
f,19186,21
11,19328,15
b,19468,60
c,19609,1017
d,19750,0
f,19891,21
11,20032,15
b,20174,60
c,20315,1025
d,20456,0
f,20597,21
11,20738,15
b,20879,60
c,21020,1011
d,21161,0
f,21298,21
11,21439,15
b,21580,60
c,21721,1012
d,21862,0
f,22003,21
11,22141,15
b,22282,60
c,22423,1008
d,22564,0
f,22705,21
11,22846,15
b,22987,60
c,23128,981
d,23269,0
f,23410,21
11,23552,15
b,23692,60
c,23833,1011
d,23974,0
f,24115,21
11,24256,15
b,24398,60
c,24539,991
d,24680,0
f,24821,21
11,24962,15
b,25103,59
c,25244,992
d,25385,0
f,25522,21
11,25663,15
b,25804,60
c,25945,979
d,26086,0
f,26227,21
11,26365,15
b,26506,59
c,26647,1001
d,26788,0
f,26929,21
11,27070,15
b,27211,59
c,27352,993
d,27493,0
f,27634,21
11,27776,14
b,27916,55
c,28057,1026
d,28198,0
f,28339,21
11,28480,14
b,28622,55
c,28763,1010
d,28904,0
f,29045,21
11,29186,14
b,29327,53
c,29468,1011
d,29609,0
f,29746,21
11,29887,14
b,30028,53
c,30169,998
d,30310,0
f,30451,21
11,30589,14
b,30730,51
c,30871,998
d,31012,0
f,31153,21
11,31294,14
b,31435,49
c,31576,990
d,31717,0
f,31858,21
11,32000,14
b,32140,50
c,32281,972
d,32422,0
f,32563,21
11,32704,14
b,32846,48
c,32987,1000
d,33128,0
f,33269,21
11,33410,14
b,33551,48
c,33692,1003
d,33833,0
f,33970,21
11,34111,14
b,34252,50
c,34393,946
d,34534,0
f,34675,21
11,34813,13
b,34954,48
c,35095,977
d,35236,0
f,35377,21
11,35518,14
b,35659,47
c,35800,966
d,35941,0
f,36082,21
11,36224,14
b,36364,48
c,36505,967
d,36646,0
f,36787,21
11,36928,13
b,37070,47
c,37211,962
d,37352,0
f,37493,21
11,37634,13
b,37775,46
c,37916,956
d,38057,0
f,38194,21
11,38335,13
b,38476,46
c,38617,955
d,38758,0
f,38899,21
11,39037,14
b,39178,48
c,39319,945
d,39460,0
f,39601,21
11,39742,13
b,39883,47
c,40024,952
d,40165,0
f,40306,21
11,40448,13
b,40588,46
c,40729,942
d,40870,0
f,41011,21
11,41152,13
b,41294,46
c,41435,940
d,41576,0
f,41717,21
11,41858,13
b,41999,46
c,42140,939
d,42281,0
f,42418,21
11,42559,13
b,42700,46
c,42841,951
d,42982,0
f,43123,21
11,43261,13
b,43402,45
c,43543,926
d,43684,0
f,43825,21
11,43966,13
b,44107,45
c,44248,919
d,44389,0
f,44530,21
11,44672,13
b,44812,46
c,44953,917
d,45094,0
f,45235,21
11,45376,13
b,45518,46
c,45659,939
d,45800,0
f,45941,21
11,46082,13
b,46223,46
c,46364,924
d,46505,0
f,46642,21
11,46783,13
b,46924,46
c,47065,903
d,47206,0
f,47347,21
11,47485,13
b,47626,46
c,47767,916
d,47908,0
f,48049,21
11,48190,13
b,48331,46
c,48472,894
d,48613,0
f,48754,21
11,48896,13
b,49036,46
c,49177,912
d,49318,0
f,49459,21
11,49600,13
b,49742,46
c,49883,908
d,50024,0
f,50165,21
11,50306,13
b,50447,46
c,50588,914
d,50729,0
f,50866,21
11,51007,13
b,51148,46
c,51289,904
d,51430,0
f,51571,21
11,51709,13
b,51850,46
c,51991,895
d,52132,0
f,52273,21
11,52414,13
b,52555,46
c,52696,896
d,52837,0
f,52978,21
11,53120,13
b,53260,46
c,53401,905
d,53542,0
f,53683,21
11,53824,13
b,53966,46
c,54107,918
d,54248,0
f,54389,21
11,54530,13
b,54671,47
c,54812,884
d,54953,0
f,55090,21
11,55231,13
b,55372,48
c,55513,885
d,55654,0
f,55795,21
11,55933,13
b,56074,47
c,56215,888
d,56356,0
f,56497,21
11,56638,13
b,56779,47
c,56920,887
d,57061,0
f,57202,21
11,57344,13
b,57484,46
c,57625,897
d,57766,0
f,57907,21
11,58048,13
b,58190,46
c,58331,895
d,58472,0
f,58613,21
11,58754,13
b,58895,46
c,59036,883
d,59177,0
f,59314,21
11,59455,13
b,59596,46
c,59737,892
d,59878,0
f,60019,21
11,60157,13
b,60298,47
c,60439,888
d,60580,0
f,60721,21
11,60862,13
b,61003,47
c,61144,882
d,61285,0
f,61426,21
11,61568,13
b,61708,46
c,61849,876
d,61990,0
f,62131,21
11,62272,13
b,62414,46
c,62555,876
d,62696,0
f,62837,21
11,62978,13
b,63119,46
c,63260,883
d,63401,0
f,63538,21
11,63679,13
b,63820,46
c,63961,873
d,64102,0
f,64243,21
11,64381,13
b,64522,46
c,64663,882
d,64804,0
f,64945,21
11,65086,13
b,65227,46
c,65368,874
d,65509,0
f,65650,21
11,65792,13
b,65932,46
c,66073,876
d,66214,0
f,66355,21
11,66496,13
b,66638,47
c,66779,862
d,66920,0
f,67061,21
11,67202,13
b,67343,47
c,67484,853
d,67625,0
f,67762,21
11,67903,13
b,68044,47
c,68185,849
d,68326,0
f,68467,21
11,68605,13
b,68746,47
c,68887,868
d,69028,0
f,69169,21
11,69310,13
b,69451,47
c,69592,853
d,69733,0
f,69874,21
11,70016,13
b,70156,47
c,70297,869
d,70438,0
f,70579,21
11,70720,13
b,70862,48
c,71003,843
d,71144,0
f,71285,21
11,71426,13
b,71567,49
c,71708,857
d,71849,0
f,71986,21
11,72127,13
b,72268,47
c,72409,859
d,72550,0
f,72691,21
11,72829,13
b,72970,46
c,73111,869
d,73252,0
f,73393,21
11,73534,13
b,73675,47
c,73816,849
d,73957,0
f,74098,21
11,74240,13
b,74380,47
c,74521,842
d,74662,0
f,74803,21
11,74944,13
b,75086,47
c,75227,866
d,75368,0
f,75509,21
11,75650,13
b,75791,46
c,75932,844
d,76073,0
f,76210,21
11,76351,13
b,76492,46
c,76633,839
d,76774,0
f,76915,21
11,77053,13
b,77194,46
c,77335,832
d,77476,0
f,77617,21
11,77758,13
b,77899,46
c,78040,833
d,78181,0
f,78322,21
11,78464,13
b,78604,46
c,78745,848
d,78886,0
f,79027,21
11,79168,13
b,79310,46
c,79451,835
d,79592,0
f,79733,21
11,79874,13
b,80015,46
c,80156,838
d,80297,0
f,80434,21
11,80575,13
b,80716,46
c,80857,850
d,80998,0
f,81139,21
11,81277,13
b,81418,46
f,81559,21
11,81700,13
b,81841,46
f,81982,21
11,82123,13
b,82264,46
f,82405,21
11,82546,13
b,82688,46
f,82828,21
11,82969,13
b,83110,46
f,83251,21
11,83392,13
b,83534,47
f,83675,21
