time	TC4_1	TC4_2	TC4_3	TC4_4
(sec)	(degC)	(degC)	(degC)	(degC)

0.00000	21	21	21	27
0.08192	21	21	21	27
0.16384	21	21	21	27
0.24576	21	21	21	27
0.32768	21	21	21	27
0.40960	21	21	21	27
0.49152	21	21	21	27
0.57344	21	21	21	27
0.65536	21	21	21	27
0.73728	21	21	21	27
0.81920	21	21	21	27
0.90112	21	21	21	27
0.98304	21	21	21	27
1.06496	21	21	21	27
1.14688	21	21	21	27
1.22880	21	21	21	27
1.31072	21	21	21	27
1.39264	21	21	21	27
1.47456	21	21	21	27
1.55648	21	21	21	27
1.63840	21	21	21	27
1.72032	21	21	21	27
1.80224	21	21	21	27
1.88416	21	21	21	27
1.96608	21	21	21	27
2.04800	21	21	21	27
2.12992	21	21	21	27
2.21184	21	21	21	27
2.29376	21	21	21	27
2.37568	21	21	21	27
2.45760	21	21	21	27
2.53952	21	21	21	27
2.62144	21	21	21	27
2.70336	21	21	21	27
2.78528	21	21	21	27
2.86720	21	21	21	27
2.94912	21	21	21	27
3.03104	21	21	21	27
3.11296	21	21	21	27
3.19488	21	21	21	27
3.27680	21	21	21	27
3.35872	21	21	21	27
3.44064	21	21	21	27
3.52256	21	21	21	27
3.60448	21	21	21	27
3.68640	21	21	21	27
3.76832	21	21	21	27
3.85024	21	21	21	27
3.93216	21	21	21	27
4.01408	21	21	21	27
4.09600	21	21	21	27
4.17792	21	21	21	27
4.25984	21	21	21	27
4.34176	21	21	21	27
4.42368	21	21	21	27
4.50560	21	21	21	27
4.58752	21	21	21	27
4.66944	21	21	21	27
4.75136	21	21	21	27
4.83328	21	21	21	27
4.91520	21	21	21	27
4.99712	21	21	21	27
5.07904	21	21	21	27
5.16096	21	21	21	27
5.24288	21	21	21	27
5.32480	21	21	21	27
5.40672	21	21	21	27
5.48864	21	21	21	27
5.57056	21	21	21	27
5.65248	21	21	21	27
5.73440	21	21	21	27
5.81632	21	21	21	27
5.89824	21	21	21	27
5.98016	21	21	21	27
6.06208	21	21	21	27
6.14400	21	21	21	27
6.22592	21	21	21	27
6.30784	21	21	21	27
6.38976	21	21	21	27
6.47168	21	21	21	27
6.55360	21	21	21	27
6.63552	21	21	21	27
6.71744	21	21	21	27
6.79936	21	21	21	27
6.88128	21	21	21	27
6.96320	21	21	21	27
7.04512	21	21	21	27
7.12704	21	21	21	27
7.20896	21	21	21	27
7.29088	21	21	21	27
7.37280	21	21	21	27
7.45472	21	21	21	27
7.53664	21	21	21	27
7.61856	21	21	21	27
7.70048	21	21	21	27
7.78240	21	21	21	27
7.86432	21	21	21	27
7.94624	21	21	21	27
8.02816	21	21	21	27
8.11008	21	21	21	27
8.19200	21	21	21	27
8.27392	21	21	21	27
8.35584	21	21	21	27
8.43776	21	21	21	27
8.51968	21	21	21	27
8.60160	21	21	21	27
8.68352	21	21	21	27
8.76544	21	21	21	27
8.84736	21	21	21	27
8.92928	21	21	21	27
9.01120	21	21	21	27
9.09312	21	21	21	27
9.17504	21	21	21	27
9.25696	21	21	21	27
9.33888	21	21	21	27
9.42080	21	21	21	27
9.50272	21	21	21	27
9.58464	21	21	21	27
9.66656	21	21	21	27
9.74848	21	21	21	27
9.83040	21	21	21	27
9.91232	21	21	21	27
9.99424	21	21	21	27
10.07616	21	21	21	27
10.15808	21	21	21	27
10.24000	21	21	21	27
10.32192	21	21	21	27
10.40384	21	21	21	27
10.48576	21	21	21	27
10.56768	21	21	21	27
10.64960	21	21	21	27
10.73152	21	21	21	27
10.81344	21	21	21	27
10.89536	21	22	21	27
10.97728	21	22	21	27
11.05920	21	22	21	27
11.14112	21	22	21	27
11.22304	21	22	21	27
11.30496	21	22	21	27
11.38688	21	22	21	27
11.46880	21	22	21	27
11.55072	21	22	21	27
11.63264	21	22	21	27
11.71456	21	22	21	27
11.79648	21	22	21	27
11.87840	21	22	21	27
11.96032	21	22	21	27
12.04224	21	22	21	27
12.12416	21	22	21	27
12.20608	21	22	21	27
12.28800	21	22	21	27
12.36992	21	22	21	27
12.45184	21	22	21	27
12.53376	21	22	21	27
12.61568	21	22	21	27
12.69760	21	22	21	27
12.77952	21	22	21	27
12.86144	21	22	21	27
12.94336	21	22	21	27
13.02528	21	22	21	27
13.10720	21	22	21	27
13.18912	21	22	21	27
13.27104	21	22	21	27
13.35296	21	22	21	27
13.43488	21	22	21	27
13.51680	21	22	21	27
13.59872	21	22	21	27
13.68064	21	22	21	27
13.76256	21	22	21	27
13.84448	21	22	21	27
13.92640	21	22	21	27
14.00832	21	22	21	27
14.09024	21	22	21	27
14.17216	21	22	21	27
14.25408	21	22	21	27
14.33600	21	22	21	28
14.41792	21	22	21	28
14.49984	21	22	21	28
14.58176	21	22	21	28
14.66368	21	22	21	28
14.74560	21	22	21	28
14.82752	21	22	21	28
14.90944	21	22	21	28
14.99136	21	22	21	28
15.07328	21	22	21	28
15.15520	21	22	21	28
15.23712	21	22	21	28
15.31904	21	22	21	28
15.40096	21	22	21	28
15.48288	21	22	21	28
15.56480	21	22	21	28
15.64672	21	22	21	28
15.72864	21	22	21	28
15.81056	21	22	21	28
15.89248	21	22	21	28
15.97440	21	22	21	28
16.05632	21	22	21	28
16.13824	21	22	21	28
16.22016	21	22	21	28
16.30208	21	22	21	28
16.38400	21	22	21	28
16.46592	21	22	21	28
16.54784	21	22	21	28
16.62976	21	22	21	28
16.71168	21	22	21	28
16.79360	21	22	21	28
16.87552	21	22	21	28
16.95744	21	22	21	28
17.03936	21	22	21	28
17.12128	21	22	21	28
17.20320	21	22	21	28
17.28512	21	22	21	28
17.36704	21	22	21	28
17.44896	21	22	21	28
17.53088	21	22	21	28
17.61280	21	22	21	28
17.69472	21	22	21	28
17.77664	21	22	21	28
17.85856	21	22	21	28
17.94048	21	22	21	28
18.02240	21	22	21	28
18.10432	21	22	21	28
18.18624	21	22	21	28
18.26816	21	22	21	28
18.35008	21	22	21	28
18.43200	21	22	21	28
18.51392	21	22	21	28
