f,343183,23
11,343324,13
4,343465,37
5,343602,87
b,343743,48
c,343884,754
d,344025,0
f,344166,23
11,344307,12
4,344445,36
5,344586,87
b,344727,46
c,344868,750
d,345009,0
f,345150,23
11,345291,12
4,345432,33
5,345573,87
b,345714,45
c,345856,740
d,345996,0
f,346137,24
11,346278,12
4,346419,34
5,346560,88
b,346702,45
c,346843,738
d,346984,0
f,347125,24
11,347266,12
4,347407,34
5,347548,88
b,347689,45
c,347826,747
d,347967,0
f,348108,24
11,348249,12
4,348390,33
5,348531,88
b,348669,44
c,348810,740
d,348951,0
f,349092,24
11,349233,12
4,349374,33
5,349515,88
b,349656,45
c,349797,749
d,349938,0
f,350080,24
11,350220,12
4,350361,33
5,350502,88
b,350643,45
c,350784,746
d,350926,0
f,351067,24
11,351208,12
4,351349,33
5,351490,88
b,351631,45
c,351772,745
d,351913,0
f,352050,24
11,352191,12
4,352332,33
5,352473,88
b,352614,45
c,352755,742
d,352893,0
f,353034,24
11,353175,12
4,353316,34
5,353457,88
b,353598,45
c,353739,742
d,353880,0
f,354021,24
11,354162,12
4,354304,34
5,354444,88
b,354585,45
c,354726,751
d,354867,0
f,355008,24
11,355150,12
4,355291,33
5,355432,89
b,355573,45
c,355714,735
d,355855,0
f,355996,24
11,356137,12
4,356274,34
5,356415,89
b,356556,46
c,356697,753
d,356838,0
f,356979,24
11,357117,12
4,357258,34
5,357399,89
b,357540,46
c,357681,745
d,357822,0
f,357963,24
11,358104,12
4,358245,34
5,358386,89
b,358528,45
c,358668,755
d,358809,0
f,358950,24
11,359091,12
4,359232,34
5,359374,89
b,359515,45
c,359656,737
d,359797,0
f,359938,24
11,360079,12
4,360220,34
5,360361,89
b,360498,46
c,360639,742
d,360780,0
f,360921,24
11,361062,12
4,361203,36
5,361341,89
b,361482,46
c,361623,742
d,361764,0
f,361905,24
11,362046,12
4,362187,34
5,362328,89
b,362469,46
c,362610,749
d,362752,0
f,362892,24
11,363033,12
4,363174,34
5,363315,89
b,363456,46
c,363598,755
d,363739,0
f,363880,24
11,364021,12
4,364162,34
5,364303,89
b,364444,46
c,364585,744
d,364722,0
f,364863,24
11,365004,12
4,365145,36
5,365286,89
b,365427,47
c,365565,752
d,365706,0
f,365847,24
11,365988,12
4,366129,36
5,366270,89
b,366411,46
d,366552,0
f,366693,24
11,366834,12
4,366976,36
b,367116,46
c,367257,753
d,367398,0
f,367539,24
11,367680,12
4,367822,34
b,367963,46
c,368104,749
d,368245,0
f,368386,24
11,368527,12
4,368668,36
b,368809,46
c,368946,745
d,369087,0
f,369228,24
11,369369,12
4,369510,34
b,369651,46
c,369789,758
d,369930,0
f,370071,24
11,370212,12
4,370353,34
b,370494,46
c,370635,758
d,370776,0
f,370917,24
11,371058,12
4,371200,36
b,371340,46
c,371481,746
d,371622,0
f,371763,24
11,371904,12
4,372046,34
b,372187,46
c,372328,752
d,372469,0
f,372610,24
11,372751,12
4,372892,36
b,373033,46
c,373170,756
d,373311,0
f,373452,24
11,373593,12
4,373734,34
b,373875,46
c,374013,750
d,374154,0
f,374295,24
11,374436,12
4,374577,36
b,374718,47
c,374859,747
d,375000,0
f,375141,24
11,375282,12
4,375424,36
b,375564,47
c,375705,752
d,375846,0
f,375987,24
11,376128,12
4,376270,36
b,376411,46
c,376552,751
d,376693,0
f,376834,24
11,376975,12
4,377116,36
b,377257,46
c,377394,762
d,377535,0
f,377676,24
11,377817,12
4,377958,34
b,378099,46
c,378237,744
d,378378,0
f,378519,24
11,378660,12
4,378801,36
b,378942,47
c,379083,753
d,379224,0
f,379365,24
11,379506,12
4,379648,36
b,379788,46
c,379929,750
d,380070,0
f,380211,24
11,380352,12
4,380494,36
b,380635,47
c,380776,752
d,380917,0
f,381058,24
11,381199,12
4,381340,36
b,381481,47
c,381618,760
d,381759,0
f,381900,24
11,382041,12
4,382182,36
b,382323,46
c,382461,756
d,382602,0
f,382743,24
11,382884,12
4,383025,36
b,383166,46
c,383307,743
d,383448,0
f,383589,24
11,383730,12
4,383872,36
b,384012,47
c,384153,752
d,384294,0
f,384435,24
11,384576,12
4,384718,36
b,384859,46
c,385000,752
d,385141,0
f,385282,24
11,385423,12
4,385564,36
b,385705,46
c,385842,768
d,385983,0
f,386124,24
11,386265,12
4,386406,36
b,386547,46
